row_data,col_data,row_model,col_model
270,165,270,168
271,166,271,168
272,166,272,167
273,167,273,167
274,167,274,167
275,167,275,167
276,167,276,167
277,167,277,167
278,167,278,166
279,167,279,166
280,167,280,166
281,167,281,166
282,167,282,166
283,167,283,166
284,167,284,166
285,168,285,165
286,168,286,165
144,166,144,164
145,166,145,165
146,166,146,165
147,166,147,165
148,166,148,165
149,166,149,165
150,165,150,165
151,165,151,166
152,165,152,166
153,165,153,166
154,165,154,166
120,160,120,159
121,160,121,159
122,160,122,160
123,160,123,160
124,161,124,160
125,161,125,160
126,161,126,161
127,161,127,161
128,162,128,161
129,162,129,161
130,162,130,161
131,162,131,162
132,163,132,162
133,163,133,162
134,163,134,162
135,164,135,163
136,164,136,163
137,164,137,163
138,164,138,163
139,165,139,163
140,165,140,164
141,165,141,164
142,165,142,164
143,166,143,164
96,152,96,152
97,153,97,153
98,153,98,153
99,153,99,153
100,154,100,154
101,154,101,154
102,154,102,154
103,154,103,154
104,155,104,155
105,155,105,155
106,155,106,155
107,156,107,156
108,156,108,156
109,156,109,156
110,157,110,156
111,157,111,157
112,157,112,157
113,158,113,157
114,158,114,158
115,158,115,158
116,159,116,158
117,159,117,158
118,159,118,159
119,159,119,159
77,146,77,146
78,147,78,146
79,148,79,147
80,148,80,147
81,148,81,147
82,149,82,148
83,149,83,148
84,149,84,148
85,149,85,149
86,150,86,149
87,150,87,149
88,150,88,150
89,150,89,150
90,151,90,150
91,151,91,151
92,151,92,151
93,152,93,151
94,152,94,152
95,152,95,152
